test_case_id,category,description,order_id,order_name,processed_at,cancelled_at,financial_status,currency_code,taxes_included,gross_merchandise_cash,tax_liability_deducted,shipping_revenue_collected,refunded_cash_total,net_cash_in,unrecovered_cogs,outbound_shipping_cost,gateway_retained_fee,operational_costs,net_cash_out,net_margin_cash,order_gross_profit,f03_breach,f03_loss,is_merchandise_loss,is_fulfillment_induced_loss,evaluability_status,is_shipping_cost_estimated,is_gateway_fee_estimated,is_cogs_missing,is_bundle,flags,rollup_date_utc,rollup_date_shop_tz,shop_timezone,usd_fx_rate,net_cash_in_usd,net_cash_out_usd,net_margin_cash_usd,f03_loss_usd,gross_shipping_revenue,shipping_tax_adjustment,net_shipping_refund,net_shipping_revenue,test_status
TC-10-voided-pre-capture-order,financial_status,"VOIDED authorization before capture: No cash received, no fulfillment. Filtered before evaluability gate.",gid://shopify/Order/7001000011,#1010,2026-09-16T16:00:00Z,,VOIDED,USD,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,FILTERED_NO_CASH,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-11-pending-payment-unsettled,financial_status,PENDING bank wire payment: Unsettled order with no cash event. Filtered before evaluability gate.,gid://shopify/Order/7001000012,#1011,2026-09-16T17:00:00Z,,PENDING,USD,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,FILTERED_NO_CASH,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-12-returned-restocked-cost-isolated,return,Returned & restocked: Rev $0.00 - COGS $0.00 - Ship $8.75 - Fee $1.90 = -$10.65 breach (dead freight + non-refundable fee).,gid://shopify/Order/7001000013,#1012,2026-09-17T09:00:00Z,,REFUNDED,USD,False,50.0,0.0,0.0,50.0,0.0,0.0,8.75,1.9,10.65,10.65,-10.65,0.0,True,10.65,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,0.0,10.65,-10.65,10.65,0.0,0.0,0.0,0.0,PASS
TC-13-returned-damaged-no-restock,return,Returned damaged (scrap): Rev $0.00 - COGS $38.20 - Ship $9.40 - Fee $2.17 = -$49.77 breach.,gid://shopify/Order/7001000014,#1013,2026-09-17T10:00:00Z,,REFUNDED,USD,False,70.0,0.0,0.0,70.0,0.0,38.2,9.4,2.17,11.57,49.77,-49.77,-38.2,True,49.77,True,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,0.0,49.77,-49.77,49.77,0.0,0.0,0.0,0.0,PASS
TC-14-full-refund-no-return,refund,Full refund concession (kept by buyer): Rev $0.00 - COGS $31.80 - Ship $7.60 - Fee $1.72 = -$41.12 breach.,gid://shopify/Order/7001000015,#1014,2026-09-17T11:00:00Z,,REFUNDED,USD,False,55.0,0.0,0.0,55.0,0.0,31.8,7.6,1.72,9.32,41.12,-41.12,-31.8,True,41.12,True,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,0.0,41.12,-41.12,41.12,0.0,0.0,0.0,0.0,PASS
TC-15-split-tender-gift-card-cc,payment_method,Split-tender $50 gift card + $70 credit card: Fee $2.33 strictly on card. Rev $120.00 - COGS $107.45 - Ship $11.80 - Fee $2.33 = -$1.58 breach.,gid://shopify/Order/7001000016,#1015,2026-09-17T12:00:00Z,,PAID,USD,False,120.0,0.0,0.0,0.0,120.0,107.45,11.8,2.33,14.13,121.58,-1.58,12.55,True,1.58,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,120.0,121.58,-1.58,1.58,0.0,0.0,0.0,0.0,PASS
TC-16-manual-cod-zero-fees-by-design,payment_method,Manual COD with $0.00 gateway fee by design: Rev INR 2450 - COGS INR 2100 - Ship INR 385 - Fee INR 0.00 = -INR 35.00 breach.,gid://shopify/Order/7001000017,#1016,2026-09-17T13:00:00Z,,PAID,INR,False,2450.0,0.0,0.0,0.0,2450.0,2100.0,385.0,0.0,385.0,2485.0,-35.0,350.0,True,35.0,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,Asia/Kolkata,0.011976047904191617,29.34,29.76,-0.42,0.42,0.0,0.0,0.0,0.0,PASS
TC-17-pos-in-person-zero-shipping,channel,Retail POS in-person walkout: Rev $45.00 - COGS $38.90 - Ship $0.00 - Fee $1.22 = +$4.88 healthy.,gid://shopify/Order/7001000018,#1017-POS,2026-09-17T14:00:00Z,,PAID,USD,False,45.0,0.0,0.0,0.0,45.0,38.9,0.0,1.22,1.22,40.12,4.88,6.1,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,45.0,40.12,4.88,0.0,0.0,0.0,0.0,0.0,PASS
TC-18-exact-zero-margin-boundary,boundary,Boundary break-even: Rev $50.00 - COGS $36.00 - Ship $12.55 - Fee $1.45 = $0.00 exactly (NOT a breach).,gid://shopify/Order/7001000019,#1018,2026-09-17T15:00:00Z,,PAID,USD,False,50.0,0.0,0.0,0.0,50.0,36.0,12.55,1.45,14.0,50.0,0.0,14.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-19-exact-negative-one-cent-boundary,boundary,Boundary deficit: Rev $50.00 - COGS $36.00 - Ship $12.55 - Fee $1.46 = -$0.01 breach.,gid://shopify/Order/7001000020,#1019,2026-09-17T16:00:00Z,,PAID,USD,False,50.0,0.0,0.0,0.0,50.0,36.0,12.55,1.46,14.01,50.01,-0.01,14.0,True,0.01,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,50.0,50.01,-0.01,0.01,0.0,0.0,0.0,0.0,PASS
TC-20-multiline-single-shipping-dedup,duplicate_integrity,5 lines sharing 1 shipping fee: Rev $100.00 - COGS $73.00 - Ship $9.50 - Fee $3.20 = +$14.30 healthy.,gid://shopify/Order/7001000021,#1020,2026-09-17T17:00:00Z,,PAID,USD,False,100.0,0.0,0.0,0.0,100.0,73.0,9.5,3.2,12.7,85.7,14.3,27.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,100.0,85.7,14.3,0.0,0.0,0.0,0.0,0.0,PASS
TC-21-bundle-sku-understated-cogs,bundle,Bundle BOM component explosion ($49.50) vs placeholder $5.00: Rev $49.99 - COGS $49.50 - Ship $7.25 - Fee $1.75 = -$8.51 breach.,gid://shopify/Order/7001000022,#1021,2026-09-17T18:00:00Z,,PAID,USD,False,49.99,0.0,0.0,0.0,49.99,49.5,7.25,1.75,9.0,58.5,-8.51,0.49,True,8.51,False,True,EVALUATED_CONFIRMED,False,False,False,True,is_bundle,2026-09-17,2026-09-17,UTC,1.0,49.99,58.5,-8.51,8.51,0.0,0.0,0.0,0.0,PASS
TC-22-historical-cost-drift,historical_drift,Historical cost drift: Live cost $25.00 vs snapshot $42.00: Rev $52.00 - COGS $42.00 - Ship $8.40 - Fee $1.81 = -$0.21 breach.,gid://shopify/Order/7001000023,#1022,2026-09-17T19:00:00Z,,PAID,USD,False,52.0,0.0,0.0,0.0,52.0,42.0,8.4,1.81,10.21,52.21,-0.21,10.0,True,0.21,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-17,2026-09-17,UTC,1.0,52.0,52.21,-0.21,0.21,0.0,0.0,0.0,0.0,PASS
TC-23-T1-timing-pre-settlement-estimate,timing,Progressive reconciliation state T1 (T+2h): Pre-settlement estimate with 3PL fallback $12.00 and gateway estimate $2.19 -> Rev $65.00 - COGS $54.00 - Ops $14.19 = -$3.19 breach.,gid://shopify/Order/7001000024,#1023,2026-09-18T10:00:00Z,,PAID,USD,False,65.0,0.0,0.0,0.0,65.0,54.0,12.0,2.19,14.19,68.19,-3.19,11.0,True,3.19,False,True,EVALUATED_ESTIMATED,True,True,False,False,is_shipping_cost_estimated;is_gateway_fee_estimated,2026-09-18,2026-09-18,UTC,1.0,65.0,68.19,-3.19,3.19,0.0,0.0,0.0,0.0,PASS
TC-23-T2-timing-post-settlement-confirmed,timing,Progressive reconciliation state T2 (T+72h): Post-settlement confirmed 3PL invoice $8.50 and gateway fee $1.95 -> Rev $65.00 - COGS $54.00 - Ops $10.45 = +$0.55 healthy.,gid://shopify/Order/7001000024,#1023,2026-09-18T10:00:00Z,,PAID,USD,False,65.0,0.0,0.0,0.0,65.0,54.0,8.5,1.95,10.45,64.45,0.55,11.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,65.0,64.45,0.55,0.0,0.0,0.0,0.0,0.0,PASS
TC-24-timezone-cutoff-cross-day,timezone,Timezone cross-day: Order at 2026-09-23T19:00:00Z is 2026-09-24 00:30:00 in Asia/Kolkata (shop tz). Rev INR 1999 - COGS INR 1750 - Ship INR 230 - Fee INR 47.18 = -INR 28.18 breach.,gid://shopify/Order/7001000025,#1024,2026-09-23T19:00:00Z,,PAID,INR,False,1999.0,0.0,0.0,0.0,1999.0,1750.0,230.0,47.18,277.18,2027.18,-28.18,249.0,True,28.18,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-23,2026-09-24,Asia/Kolkata,0.011976047904191617,23.94,24.28,-0.34,0.34,0.0,0.0,0.0,0.0,PASS
TC-25-01-batch-null-cogs,denominator,TC-25 unbundled order 1/10: Missing supplier COGS triggers quarantine (NOT_EVALUABLE).,gid://shopify/Order/700100002501,#1025-NULL-1,2026-09-18T12:00:00Z,,PAID,USD,False,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,NOT_EVALUABLE,False,False,True,False,is_cogs_missing,2026-09-18,2026-09-18,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-02-batch-null-cogs,denominator,TC-25 unbundled order 2/10: Missing supplier COGS triggers quarantine (NOT_EVALUABLE).,gid://shopify/Order/700100002502,#1025-NULL-2,2026-09-18T12:00:00Z,,PAID,USD,False,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,NOT_EVALUABLE,False,False,True,False,is_cogs_missing,2026-09-18,2026-09-18,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-03-batch-null-cogs,denominator,TC-25 unbundled order 3/10: Missing supplier COGS triggers quarantine (NOT_EVALUABLE).,gid://shopify/Order/700100002503,#1025-NULL-3,2026-09-18T12:00:00Z,,PAID,USD,False,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,NOT_EVALUABLE,False,False,True,False,is_cogs_missing,2026-09-18,2026-09-18,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-04-batch-breach-1,denominator,TC-25 unbundled order 4/10: Rev $40.00 - COGS $35.00 - Ship $8.50 - Fee $1.50 = -$5.00 breach.,gid://shopify/Order/700100002504,#1025-BREACH-1,2026-09-18T13:00:00Z,,PAID,USD,False,40.0,0.0,0.0,0.0,40.0,35.0,8.5,1.5,10.0,45.0,-5.0,5.0,True,5.0,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,40.0,45.0,-5.0,5.0,0.0,0.0,0.0,0.0,PASS
TC-25-05-batch-breach-2,denominator,TC-25 unbundled order 5/10: Rev $60.00 - COGS $55.00 - Ship $10.00 - Fee $2.50 = -$7.50 breach.,gid://shopify/Order/700100002505,#1025-BREACH-2,2026-09-18T13:30:00Z,,PAID,USD,False,60.0,0.0,0.0,0.0,60.0,55.0,10.0,2.5,12.5,67.5,-7.5,5.0,True,7.5,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,60.0,67.5,-7.5,7.5,0.0,0.0,0.0,0.0,PASS
TC-25-06-batch-healthy-1,denominator,TC-25 unbundled order 6/10: Rev $80.00 - COGS $45.00 - Ship $8.50 - Fee $2.50 = +$24.00 profit.,gid://shopify/Order/700100002506,#1025-HEALTHY-1,2026-09-18T14:06:00Z,,PAID,USD,False,80.0,0.0,0.0,0.0,80.0,45.0,8.5,2.5,11.0,56.0,24.0,35.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,80.0,56.0,24.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-07-batch-healthy-2,denominator,TC-25 unbundled order 7/10: Rev $90.00 - COGS $50.00 - Ship $8.50 - Fee $2.80 = +$28.70 profit.,gid://shopify/Order/700100002507,#1025-HEALTHY-2,2026-09-18T14:07:00Z,,PAID,USD,False,90.0,0.0,0.0,0.0,90.0,50.0,8.5,2.8,11.3,61.3,28.7,40.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,90.0,61.3,28.7,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-08-batch-healthy-3,denominator,TC-25 unbundled order 8/10: Rev $100.00 - COGS $60.00 - Ship $8.50 - Fee $3.00 = +$28.50 profit.,gid://shopify/Order/700100002508,#1025-HEALTHY-3,2026-09-18T14:08:00Z,,PAID,USD,False,100.0,0.0,0.0,0.0,100.0,60.0,8.5,3.0,11.5,71.5,28.5,40.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,100.0,71.5,28.5,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-09-batch-healthy-4,denominator,TC-25 unbundled order 9/10: Rev $70.00 - COGS $40.00 - Ship $8.50 - Fee $2.20 = +$19.30 profit.,gid://shopify/Order/700100002509,#1025-HEALTHY-4,2026-09-18T14:09:00Z,,PAID,USD,False,70.0,0.0,0.0,0.0,70.0,40.0,8.5,2.2,10.7,50.7,19.3,30.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,70.0,50.7,19.3,0.0,0.0,0.0,0.0,0.0,PASS
TC-25-10-batch-healthy-5,denominator,TC-25 unbundled order 10/10: Rev $85.00 - COGS $45.00 - Ship $8.50 - Fee $2.60 = +$28.90 profit.,gid://shopify/Order/700100002510,#1025-HEALTHY-5,2026-09-18T14:10:00Z,,PAID,USD,False,85.0,0.0,0.0,0.0,85.0,45.0,8.5,2.6,11.1,56.1,28.9,40.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,85.0,56.1,28.9,0.0,0.0,0.0,0.0,0.0,PASS
TC-27-01-loss-leader-repeated,loss_leader,TC-27 unbundled order 1/5: Repeated loss-leader SKU: Rev $15.00 - COGS $14.50 - Ship $3.50 - Fee $0.74 = -$3.74 breach.,gid://shopify/Order/700100002701,#1027-1,2026-09-19T23:01:00Z,,PAID,USD,False,15.0,0.0,0.0,0.0,15.0,14.5,3.5,0.74,4.24,18.74,-3.74,0.5,True,3.74,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-19,2026-09-19,UTC,1.0,15.0,18.74,-3.74,3.74,0.0,0.0,0.0,0.0,PASS
TC-27-02-loss-leader-repeated,loss_leader,TC-27 unbundled order 2/5: Repeated loss-leader SKU: Rev $15.00 - COGS $14.50 - Ship $3.50 - Fee $0.74 = -$3.74 breach.,gid://shopify/Order/700100002702,#1027-2,2026-09-19T23:02:00Z,,PAID,USD,False,15.0,0.0,0.0,0.0,15.0,14.5,3.5,0.74,4.24,18.74,-3.74,0.5,True,3.74,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-19,2026-09-19,UTC,1.0,15.0,18.74,-3.74,3.74,0.0,0.0,0.0,0.0,PASS
TC-27-03-loss-leader-repeated,loss_leader,TC-27 unbundled order 3/5: Repeated loss-leader SKU: Rev $15.00 - COGS $14.50 - Ship $3.50 - Fee $0.74 = -$3.74 breach.,gid://shopify/Order/700100002703,#1027-3,2026-09-19T23:03:00Z,,PAID,USD,False,15.0,0.0,0.0,0.0,15.0,14.5,3.5,0.74,4.24,18.74,-3.74,0.5,True,3.74,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-19,2026-09-19,UTC,1.0,15.0,18.74,-3.74,3.74,0.0,0.0,0.0,0.0,PASS
TC-27-04-loss-leader-repeated,loss_leader,TC-27 unbundled order 4/5: Repeated loss-leader SKU: Rev $15.00 - COGS $14.50 - Ship $3.50 - Fee $0.74 = -$3.74 breach.,gid://shopify/Order/700100002704,#1027-4,2026-09-19T23:04:00Z,,PAID,USD,False,15.0,0.0,0.0,0.0,15.0,14.5,3.5,0.74,4.24,18.74,-3.74,0.5,True,3.74,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-19,2026-09-19,UTC,1.0,15.0,18.74,-3.74,3.74,0.0,0.0,0.0,0.0,PASS
TC-27-05-loss-leader-repeated,loss_leader,TC-27 unbundled order 5/5: Repeated loss-leader SKU: Rev $15.00 - COGS $14.50 - Ship $3.50 - Fee $0.74 = -$3.74 breach.,gid://shopify/Order/700100002705,#1027-5,2026-09-19T23:05:00Z,,PAID,USD,False,15.0,0.0,0.0,0.0,15.0,14.5,3.5,0.74,4.24,18.74,-3.74,0.5,True,3.74,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-19,2026-09-19,UTC,1.0,15.0,18.74,-3.74,3.74,0.0,0.0,0.0,0.0,PASS
TC-28-cancelled-mid-fulfillment-partial-ship,cancellation,Cancelled mid-fulfillment with 1 unit shipped: Retained Rev $30.00 - Shipped COGS $22.40 - Ship $7.80 - Fee $1.74 = -$1.94 breach.,gid://shopify/Order/7001000028,#1028,2026-09-18T08:00:00Z,2026-09-18T16:30:00Z,PARTIALLY_REFUNDED,USD,False,60.0,0.0,0.0,30.0,30.0,22.4,7.8,1.74,9.54,31.94,-1.94,7.6,True,1.94,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,30.0,31.94,-1.94,1.94,0.0,0.0,0.0,0.0,PASS
TC-29-promotional-influencer-gifting,channel,Influencer / PR gifting $0.00 order tagged 'pr_gifting': Excluded from commercial breach denominator (EXCLUDED_PROMOTIONAL).,gid://shopify/Order/7001000029,#1029-PR,2026-09-18T18:00:00Z,,PAID,USD,False,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,-25.0,-25.0,False,0.0,False,False,EXCLUDED_PROMOTIONAL,False,False,False,False,is_promotional_gifting,2026-09-18,2026-09-18,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-30-sandbox-test-order-filtered,financial_status,Sandbox/developer test order (order.test == true): Filtered prior to evaluability gating (FILTERED_TEST_ORDER).,gid://shopify/Order/7001000030,#1030-TEST,2026-09-18T19:00:00Z,,PAID,USD,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,FILTERED_TEST_ORDER,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-31-stacked-line-and-cart-discounts,discount,"Step 2 & 3 isolation: LineItem with $15 line-specific coupon + $10 allocated cart coupon on $100 item -> TotalDiscount $25, NetPrice $75. NetRev $75 - COGS $65 - Ship $8.50 - Fee $2.50 = -$1.00 breach.",gid://shopify/Order/7001000031,#1031,2026-09-18T20:00:00Z,,PAID,USD,False,75.0,0.0,0.0,0.0,75.0,65.0,8.5,2.5,11.0,76.0,-1.0,10.0,True,1.0,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,75.0,76.0,-1.0,1.0,0.0,0.0,0.0,0.0,PASS
TC-32-tax-inclusive-partial-refund-isolated,refund,"Step 8 isolation: GST 18% inclusive order ₹1180 (NetPrice ₹1000, Tax ₹180). Refunded ₹1180 (Gross ₹1180 - Tax ₹180 = NetRefund ₹1000). NetRev = ₹0. Restocked COGS ₹0. Courier ₹150 + Fee ₹28 = -₹178 breach.",gid://shopify/Order/7001000032,#1032,2026-09-18T21:00:00Z,,REFUNDED,INR,True,1180.0,180.0,0.0,1000.0,0.0,0.0,150.0,28.0,178.0,178.0,-178.0,0.0,True,178.0,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-19,Asia/Kolkata,0.011976047904191617,0.0,2.13,-2.13,2.13,0.0,0.0,0.0,0.0,PASS
TC-33-shipping-tax-inclusive-isolated,tax,Step 16 isolation: Shipping fee $12.00 includes $2.00 VAT/tax -> NetShippingRevenue $10.00. Merch $50 (COGS $40) + NetShip $10 - Courier $11.50 - Fee $1.80 = +$6.70 healthy.,gid://shopify/Order/7001000033,#1033,2026-09-18T22:00:00Z,,PAID,USD,True,50.0,2.0,10.0,0.0,60.0,40.0,11.5,1.8,13.3,53.3,6.7,10.0,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-18,2026-09-18,UTC,1.0,60.0,53.3,6.7,0.0,12.0,2.0,0.0,10.0,PASS
